Word,Definition
synopsis,a sketchy summary of the main points of an argument
synthesis,the combination of ideas into a complex whole
tacit,implied by or inferred from actions or statements
taciturn,habitually reserved and uncommunicative
tackle,seize and throw down an opponent player carrying the ball
tact,consideration in dealing with others
tactile,of or relating to or proceeding from the sense of touch
tactless,lacking what is considerate in dealing with others
tadpole,a larval frog or toad
talisman,a trinket thought to be a magical protection against evil
taint,place under suspicion or cast doubt upon
talon,a sharp hooked claw especially on a bird of prey
tambourine,a shallow drum with metallic disks in the sides
tamper,"play around with, alter, or falsify, usually dishonestly"
tangent,a line that touches a curve at only one point
tangible,"perceptible by the senses, especially the sense of touch"
tangy,"having a strong tart, sour, or piquant taste"
tantalize,harass with persistent teasing or baiting
tantamount,being essentially equal to something
tantrum,a display of bad temper
taper,diminish gradually
tardy,after the expected or usual time
tarnish,"make or become dirty or dull, as by exposure to air"
tarpaulin,waterproofed canvas
tasty,pleasing to the palate
taunt,harass with persistent criticism or carping
taut,pulled or drawn tight
tawdry,tastelessly showy
taxonomy,a classification of organisms based on similarities
tedious,so lacking in interest as to cause mental weariness
teeter,"move unsteadily, with a rocking motion"
teetotalism,abstaining from alcohol
temerity,fearless daring
temporize,draw out a discussion or process in order to gain time
temperate,not extreme
tempestuous,characterized by violent emotions or behavior
tenable,based on sound reasoning or evidence
tenacious,stubbornly unyielding
tendentious,"having a strong bias, especially a controversial one"
tender,easy to cut or chew
tenuous,lacking substance or significance
tepid,moderately warm
terminology,a system of words used to name things in a discipline
terminus,a place where something ends or is complete
terror,an overwhelming feeling of fear and anxiety
terse,brief and to the point
testator,a person who makes a will
testimony,something that serves as evidence
testy,easily irritated or annoyed
tether,restraint consisting of a rope or chain
theocracy,a political unit governed by a deity
theatrical,of or relating to the stage
theology,the rational and systematic study of religion
therapeutic,tending to cure or restore to health
thorny,full of difficulties or perplexities
threadbare,thin and tattered with age
throng,a large gathering of people
thwart,"hinder or prevent, as an effort, plan, or desire"
tiff,a petty quarrel
timeworn,repeated too often; overfamiliar through overuse
timid,showing fear and lack of courage
timorous,shy and fearful by nature
tinge,color lightly
tinker,"do random, unplanned work or activities; spend time idly"
tint,a variation or slightly different shade of a color
tirade,a speech of violent denunciation
toady,a person who tries to please someone to gain an advantage
tonic,a medicine that strengthens and invigorates
tornado,a violently destructive windstorm occurring over land
torque,a twisting force
torpid,in a condition of biological rest or suspended animation
torpor,a state of motor and mental inactivity
torrid,characterized by intense emotion
torrential,relating to or resulting from the action of a downpour
tortuous,marked by repeated turns and bends
tourniquet,a bandage that stops the flow of blood by applying pressure
tout,advertise in strongly positive terms
tractable,easily managed
tranquility,an untroubled state that is free from disturbances
transcend,go beyond the scope or limits of
transfigure,completely change the nature or appearance of
transgress,"act in disregard of laws, rules, contracts, or promises"
transient,lasting a very short time
transitory,lasting a very short time
translucent,allowing light to pass through diffusely
transparent,able to be seen through with clarity
travail,use of physical or mental energy; hard work
traverse,journey across or pass over
travesty,a composition that imitates or misrepresents a style
treacherous,dangerously unstable and unpredictable
treasurer,an officer charged with receiving and disbursing funds
treaty,a written agreement between two states or sovereigns
trenchant,having keenness and forcefulness and penetration in thought
trepidation,a feeling of alarm or dread
trespass,enter unlawfully on someone's property
tribute,something given or done as an expression of esteem
trickle,"run or flow slowly, as in drops or in an unsteady stream"
trite,repeated too often; overfamiliar through overuse
trivial,(informal) small and of little importance
troupe,an organization of performers and associated personnel
trophy,something given as a token of victory
truant,one who is absent from school without permission
truce,a state of peace agreed to between opponents
truculent,defiantly aggressive
trudge,"walk heavily and firmly, as when weary, or through mud"
trumpet,a brass musical instrument with a brilliant tone
truncate,make shorter as if by cutting off
truss,a rigid framework of beams that supports a structure
tumult,a state of commotion and noise and confusion
turbid,clouded as with sediment
turbulent,characterized by unrest or disorder or insubordination
turgid,ostentatiously lofty in style
turmoil,a violent disturbance
turncoat,a disloyal person who betrays or deserts a cause
turpitude,a corrupt or depraved or degenerate act or practice
turquoise,a shade of blue tinged with green
turret,a small tower extending above a building
typo,a mistake in printed matter
tyro,someone new to a field or activity
ubiquitous,being present everywhere at once
unassailable,impossible to attack
uncanny,surpassing the ordinary or normal
unctuous,unpleasantly and excessively suave or ingratiating
undermine,"weaken or impair, especially gradually"
underscore,give extra weight to
underdog,one who is at a disadvantage and expected to lose
understudy,an actor able to replace a regular performer when required
understate,represent as less significant or important
unexceptionable,completely acceptable; not open to reproach
unflappable,"not easily perturbed, excited, or upset"
ungainly,lacking grace in movement or posture
unimpeachable,beyond doubt or reproach
unkempt,not properly maintained or cared for
unlettered,having little acquaintance with writing
unpretentious,not behaving in an artificial way to impress others; natural
unrequited,not returned in kind
unruly,unable to be governed or controlled
untenable,incapable of being defended or justified
untoward,not in keeping with accepted standards of what is proper
unwitting,not aware or knowing
unwonted,out of the ordinary
upbraid,express criticism towards
uphold,"stand up for; stick up for; of causes, principles, or ideals"
urbane,showing a high degree of refinement
usurp,seize and take control without authority
usury,the act of lending money at an exorbitant rate of interest
utter,without qualification
vaccinate,produce immunity in by inoculation
vacillate,be undecided about something
vacuous,devoid of matter
vagary,an unexpected and inexplicable change in something
vague,lacking clarity or distinctness
valediction,a farewell oration
valiant,having or showing heroism or courage
valid,well grounded in logic or truth or having legal force
vanquish,"defeat in a competition, race, or conflict"
vapid,lacking significance or liveliness or spirit or zest
vaporize,turn into gas
variance,the quality of being subject to change
varnish,"a coating that provides a hard, lustrous finish to a surface"
vault,a burial chamber (usually underground)
vaunt,show off
veer,turn sharply; change direction abruptly
vehement,marked by extreme intensity of emotions or convictions
venal,capable of being corrupted
vendor,someone who exchanges goods or services for money
veneer,coating consisting of a thin layer of wood
venerate,regard with feelings of respect and reverence
venial,warranting only temporal punishment
venom,toxin secreted by animals
veracious,habitually speaking the truth
verbatim,using exactly the same words
verbose,using or containing too many words
verdant,characterized by abundance of vegetation and green foliage
verify,confirm the truth of
veritable,not counterfeit or copied
verisimilar,appearing to be true or real
vernacular,the everyday speech of the people
versatile,having great diversity or variety
verse,literature in metrical form
vertigo,a reeling sensation; a feeling that you are about to fall
verve,an energetic style
vessel,"an object used as a container, especially for liquids"
vestige,an indication that something has been present
vestigial,not fully developed in mature animals
veteran,a person who has served in the armed forces
veto,a vote that blocks a decision
vex,"disturb, especially by minor irritations"
viable,capable of life or normal growth and development
vicarious,experienced at secondhand
vicious,having the nature of evildoing
vicissitude,a variation in circumstances or fortune
victimize,cause someone to suffer some adverse circumstance
vigilant,carefully observant or attentive
vignette,a brief literary description
vigorous,characterized by forceful and energetic action or activity
vilify,spread negative information about
vim,a healthy capacity for vigorous activity
vindicate,show to be right by providing justification or proof
vindictive,disposed to seek revenge or intended for revenge
virtuoso,someone who is dazzlingly skilled in any field
virtuous,morally excellent
virulent,extremely poisonous or injurious; producing venom
viscid,having the sticky properties of an adhesive
viscous,having a relatively high resistance to flow
visionary,a person with unusual powers of foresight
vitality,the property of being able to survive and grow
vitiate,make imperfect
vitrify,change into glass or a glass-like substance by applying heat
vitriolic,"harsh, bitter, or malicious in tone"
vituperate,spread negative information about
vivacious,vigorous and animated
vociferous,conspicuously and offensively loud
volatile,liable to lead to sudden change or violence
volition,the act of making a choice
voluble,marked by a ready flow of speech
voluminous,large in capacity or bulk
voluptuous,displaying luxury and furnishing gratification to the senses
voracious,devouring or craving food in great quantities
votary,a priest or priestess in a non-Christian religion or cult
vouch,give personal assurance; guarantee
vulgar,of or associated with the great masses of people
vulnerable,capable of being wounded or hurt
waddle,walk unsteadily
waffle,pancake batter baked in an iron
waft,a long flag; often tapering
wan,"pale, as of a person's complexion"
wanderlust,very strong or irresistible impulse to travel
wane,a gradual decline (in size or strength or power or number)
wardrobe,a piece of furniture that provides storage space for clothes
warmonger,a person who advocates militaristic policies
warp,bend or twist out of shape
warrant,formal and explicit approval
wary,marked by keen caution and watchful prudence
wastrel,someone who squanders resources or time
watershed,a ridge of land that separates two adjacent river systems
wax,substance solid at normal temperature and insoluble in water
waylay,wait in hiding to attack
welter,a confused multitude of things
wheedle,"influence or urge by gentle urging, caressing, or flattering"
whet,sharpen by rubbing
whiff,a short light gust of air
whimsical,determined by chance or impulse rather than by necessity
wholesome,characteristic of physical or moral well-being
wince,"draw back, as with fear or pain"
windbag,a person who talks a great deal about uninteresting topics
winsome,charming in a childlike or naive way
wit,mental ability
withdraw,pull back or move away or backward
wither,"lose freshness, vigor, or vitality"
withhold,hold back; refuse to hand over or share
wobble,move sideways or in an unsteady way
worldly,characteristic of secularity rather than spirituality
worship,the activity of cherishing as divine
wretched,deserving or inciting pity
wry,humorously sarcastic or mocking
xenophobe,a person who fears and dislikes foreigners or strangers
yoke,a wooden frame across the shoulders for carrying buckets
yokel,a person who is not intelligent or interested in culture
zeal,a feeling of strong eagerness
zealot,a fervent and even militant proponent of something
zenith,the highest point of something
zesty,having an agreeably pungent taste
